config_id,LoadCase,Moment,C10Nucleus,C01Nucleus,C10Annulus,K1Annulus,K2Annulus,Kappa,K1Circ,K2Circ,K1Rad,K2Rad,FiberAngle,FiberAngleCirc,FiberAngleRad,y_ROM,y_IDP
0,0.0,0.0,0.8037109375000001,0.3720703125,0.012695312499999983,0.4541015625,0.9404296875,0.8837890624999999,0.44824218750000006,0.026367187500000028,0.42089843750000006,0.49316406250000006,0.5263671875,0.6533203125,0.3173828125,0.12604625571698577,0.5303914286495098
1,0.0,0.0,0.3857421875,0.5791015625000001,0.4169921875,0.9814453125,0.2275390625,0.48730468749999994,0.6025390625,0.02246093750000011,0.3076171875,0.08886718750000008,0.2158203125,0.5068359375,0.5322265625,0.06840607590593001,0.5226629533875435
4,0.0,0.0,0.7412109375,0.5458984375,0.6826171875,0.6708984375,0.2333984375,0.6259765625,0.41113281250000006,0.46972656250000006,0.8251953125,0.5888671875,0.6455078125,0.7255859375,0.33496093749999994,0.0379498887588995,0.5273574891132567
5,0.0,0.0,0.6201171875000001,0.5380859375000001,0.8955078125,0.0947265625,0.8291015625,0.8955078125,0.41894531250000006,0.7001953125,0.8056640625,0.5927734375,0.5595703125,0.6181640625,0.8388671875,0.06716585351060346,0.5113076476151276
6,0.0,0.0,0.1240234375,0.5283203125,0.06152343749999998,0.2978515625,0.3720703125,0.48535156249999994,0.4267578125,0.5986328125,0.39160156250000006,0.8642578125,0.5869140625,0.6552734375000001,0.0263671875,0.09213610996483923,0.5330516983302246
7,0.0,0.0,0.9638671875,0.1708984375,0.16503906249999997,0.9033203125,0.4384765625,0.7353515625,0.5478515625,0.5673828125,0.1396484375000001,0.2998046875,0.6396484375,0.11621093750000001,0.9580078124999999,0.07837482936235693,0.5354290483192748
8,0.0,0.0,0.9013671875000001,0.4228515625,0.6982421875,0.9091796875,0.5263671875,0.5908203125,0.2900390625,0.22558593750000008,0.9521484375,0.11816406250000008,0.9697265625,0.6162109375000001,0.32519531249999994,0.03053864965039123,0.5311518756645122
9,0.0,0.0,0.4755859375,0.25683593750000006,0.1728515625,0.5595703125,0.7353515625,0.2822265625,0.5615234375,0.3779296875,0.1318359375,0.39550781250000006,0.5205078125,0.4951171875,0.0966796875,0.057012812770541155,0.5368135501122205
11,0.0,0.0,0.3720703125,0.5263671875,0.7294921874999999,0.5830078125,0.0634765625,0.9208984375,0.0537109375,0.6044921875,0.6142578125,0.2294921875,0.7060546875,0.3193359375,0.5068359375,0.0757264640656577,0.5118917880757603
12,0.0,0.0,0.1806640625,0.8525390625000001,0.7900390625,0.0634765625,0.6708984375,0.8095703124999999,0.5341796875,0.7685546875,0.37988281250000006,0.38183593750000006,0.7607421875,0.3662109375,0.4169921875,0.07521766514564192,0.5106401481884673
13,0.0,0.0,0.8740234375,0.8408203125,0.9658203124999999,0.1513671875,0.2626953125,0.4267578125,0.7080078125,0.5947265625,0.0732421875,0.7548828125000001,0.9130859375,0.17480468750000003,0.04980468749999999,0.042226394701885,0.5201968037092457
14,0.0,0.0,0.11816406250000001,0.6572265625000001,0.4326171875,0.2080078125,0.0107421875,0.5126953125,0.9716796875,0.09863281250000008,0.15527343750000006,0.8720703125000001,0.8310546875,0.6982421875,0.8115234374999999,0.05178963994458769,0.5221827260279903
15,0.0,0.0,0.9052734375000001,0.6689453125000001,0.03222656250000001,0.9130859375,0.7568359375,0.5947265625,0.8486328125,0.5908203125,0.9833984375,0.7041015625,0.8974609375,0.1787109375,0.9716796875,0.0505928344152,0.5405724
16,0.0,0.0,0.5419921875,0.05371093749999999,0.5322265625,0.1005859375,0.9873046875,0.018554687499999997,0.9287109375,0.25488281250000006,0.6376953125000001,0.07714843750000006,0.6279296875,0.5791015625,0.9697265624999999,0.037690817347735425,0.5282695523983609
17,0.0,0.0,0.4814453125,0.1435546875,0.8974609375,0.1357421875,0.5966796875,0.3623046875,0.7939453125000001,0.6982421875,0.02246093750000011,0.28222656250000006,0.9716796875,0.4560546875,0.0244140625,0.03719005589449473,0.5189537108653121
18,0.0,0.0,0.1669921875,0.2783203125,0.4208984375,0.3935546875,0.8525390625,0.05957031249999999,0.4423828125,0.4658203125,0.22558593750000008,0.8017578125,0.0439453125,0.9814453125,0.2353515625,0.10288537016649385,0.51248165
19,0.0,0.0,0.8623046875,0.10644531250000003,0.1494140625,0.5908203125,0.1416015625,0.1162109375,0.9970703125000004,0.7587890625,0.21191406250000003,0.3447265625000001,0.6025390625,0.0126953125,0.8056640625,0.04886748671781115,0.5430434366196583
20,0.0,0.0,0.3291015625,0.7255859375000001,0.5341796874999999,0.2939453125,0.8994140625,0.6181640624999999,0.39160156250000006,0.6396484375,0.8603515625,0.18261718750000003,0.7646484375,0.9833984375000001,0.2548828125,0.05046526387975307,0.5220810992329225
21,0.0,0.0,0.2861328125,0.3251953125,0.24707031249999997,0.3623046875,0.4638671875,0.004882812499999999,0.35058593750000006,0.7568359375,0.3271484375,0.30371093750000006,0.8720703125,0.8876953125,0.4931640625,0.04168642585827384,0.52843865
22,0.0,0.0,0.0986328125,0.5908203125,0.7646484375,0.0615234375,0.6728515625,0.7021484375,0.6357421875,0.7158203125000001,0.2099609375,0.9755859375,0.6240234375,0.1904296875,0.7119140625,0.07793370496070538,0.5101158889414863
24,0.0,0.0,0.1787109375,0.1474609375,0.9033203125,0.6474609375,0.8056640625,0.5751953125,0.7333984375,0.7333984375,0.07519531250000003,0.09863281250000008,0.5556640625,0.9013671875,0.4755859375,0.03311222940286785,0.52240144216219
26,0.0,0.0,0.5048828125,0.6279296875000001,0.8896484375,0.8544921875,0.8701171875,0.0634765625,0.6162109375,0.9150390625,0.48339843750000006,0.1787109375000001,0.3349609375,0.9794921875,0.4404296875,0.019852294669124963,0.5361394936929265
27,0.0,0.0,0.7763671875,0.6865234375,0.19433593749999994,0.9462890625,0.1337890625,0.2548828125,0.7626953125,0.6025390625,0.38574218750000006,0.2568359375000001,0.5087890625,0.3876953125,0.8349609375,0.03610254562648962,0.5427908426792166
28,0.0,0.0,0.0791015625,0.6826171875,0.24121093749999994,0.9619140625,0.9833984375,0.8486328124999999,0.17285156250000003,0.23339843750000006,0.3388671875,0.06933593750000008,0.8369140625,0.9580078125000001,0.4599609375,0.08784338319144616,0.5215781410475757
32,0.0,0.0,0.020507812500000007,0.34472656250000006,0.4580078125,0.9169921875,0.1630859375,0.7900390625,0.4169921875,0.3251953125000001,0.16308593750000003,0.1318359375,0.1298828125,0.5830078125,0.1962890625,0.09641205471377615,0.511857234505675
33,0.0,0.0,0.2177734375,0.6044921875,0.3759765625,0.5673828125,0.4267578125,0.4482421875,0.19238281250000003,0.6298828125,0.6318359375,0.10449218750000003,0.4931640625,0.9287109375000001,0.8642578125,0.04721606444327923,0.529862852150808
34,0.0,0.0,0.2314453125,0.7373046875000001,0.04589843749999999,0.0126953125,0.9619140625,0.0478515625,0.7724609375,0.12597656250000006,0.7314453125,0.6396484375,0.7431640625,0.13574218750000003,0.8232421874999999,0.11261457038972847,0.5371772652608335
35,0.0,0.0,0.6083984375000001,0.0791015625,0.6591796875,0.3974609375,0.3486328125,0.0419921875,0.4326171875,0.13769531250000008,0.43847656250000006,0.24511718750000008,0.7685546875,0.24316406250000003,0.9970703124999999,0.02893978701997065,0.5279642676718249
