,config_id,LoadCase,Moment,C10Nucleus,C01Nucleus,C10Annulus,K1Annulus,K2Annulus,Kappa,K1Circ,K2Circ,K1Rad,K2Rad,FiberAngle,FiberAngleCirc,FiberAngleRad,y_ROM,y_IDP
1,1,0,0.0,0.03873823768428834,0.7242041252919666,0.8273400257097975,0.43688097285156896,0.935631258210274,0.4936511079116666,0.1974363271101925,0.9794980424699299,0.590773326029735,0.9531002602095349,0.5191370672431934,0.048406747329295334,0.6708638883749249,0.06606942105430919,0.5108781907227056
2,2,0,0.0,0.3714416025942034,0.5663145805717067,0.4092932445401615,0.5271167184126285,0.6233860700374444,0.4570556905415909,0.460740228870221,0.664750370891295,0.0217501024002585,0.292017106993126,0.3793196440417045,0.60151930343725,0.538096934488875,0.08223900887875865,0.5232243516576629
3,3,0,0.0,0.13795863060862945,0.14617995659046,0.9872991709268846,0.7980919694060118,0.36385484777367777,0.5996972692596605,0.751641142860025,0.32666953162464196,0.6301096345555299,0.4496975514834135,0.8425600061206756,0.49642855824095666,0.42478450750881747,0.05134146425350865,0.5138977061838756
5,5,0,0.0,0.3185958534754178,0.13459496752116,0.09769260379416922,0.44178681495111666,0.0886050842630126,0.23268943177755333,0.7971687672355899,0.22834896307196048,0.57289888131279,0.599264010555815,0.6275808778020444,0.5004051991219367,0.8835358405723449,0.10190076418113243,0.5396442044903199
6,6,0,0.0,0.6102300084314334,0.43004382541791336,0.19141401686565382,0.7815422974505619,0.3082245844590259,0.08837581010933544,0.9427629987291749,0.375768758197772,0.33978256276119595,0.603581133801675,0.5823144763612867,0.5122210277882601,0.214109377859532,0.07933866612896621,0.5387921517903018
7,7,0,0.0,0.2415380043227472,0.2081898231595533,0.9665249725270333,0.7483111484028666,0.12838586935391558,0.30092361233358783,0.6993971640357349,0.59798438770926,0.7581445319855549,0.534622928780775,0.30814893411963556,0.7282386964005434,0.2942299898840325,0.05637342450051082,0.5125661870560526
8,8,0,0.0,0.15620885201290444,0.3433267736893667,0.7310357620341948,0.20756598912982382,0.8694931552208223,0.426444932809009,0.025821132575640497,0.774795411069835,0.445381357771277,0.4181066338494585,0.47754752166137776,0.71152812107648,0.31815491596502143,0.06314114997003216,0.5170080043032819
9,9,0,0.0,0.3626989251777906,0.1915901355765956,0.8696479482996512,0.4543478056547286,0.5004722401622416,0.22966419681220332,0.121367214579391,0.6787697829495499,0.66775633454833,0.11434287232035699,0.28121861986389335,0.9049118599809,0.6351492297954899,0.05293189591305216,0.5187792307785652
13,13,0,0.0,0.9687202791474612,0.6953295395555157,0.5896742626848538,0.8085320451217095,0.7119251895352371,0.6888022621569817,0.648877985491,0.189036428838288,0.86910264465278,0.88394543885126,0.9927508553138333,0.08447365733629034,0.80240747215454,0.06470650226399974,0.5224199948400514
14,14,0,0.0,0.3833915183285889,0.9288829928655622,0.45656227782043846,0.41698155624785,0.611132540438163,0.19074617776586666,0.033210565955760996,0.6284350378648699,0.051264629208420995,0.8060803924093499,0.5061841774714823,0.035635447683742334,0.445088889673527,0.0792536826467119,0.5200901130213739
15,15,0,0.0,0.6732677347565167,0.4644465213241556,0.07687347584432974,0.9151563801870547,0.9406402458093186,0.03490364488011242,0.919135687092725,0.5915407036252349,0.25487870179303845,0.89484743972051,0.6187727772146022,0.8028334837463401,0.11000275701269749,0.0677292011828873,0.5430017474162715
16,16,0,0.0,0.4800639908164444,0.6472489968280577,0.3361033113523846,0.2345117812571976,0.5775465925069482,0.7381272626278484,0.50031897905086,0.5488431458467,0.28317920653011247,0.46863451732702194,0.6122405156555734,0.12548828230513767,0.609153182677705,0.1066141513648673,0.5182032743997254
17,17,0,0.0,0.20369016086905778,0.9574740392458377,0.7694724410424384,0.28994096852136664,0.20929704113990294,0.9963388644790756,0.765768760121055,0.56073965245897,0.533530628835785,0.96197054496928,0.8097397660048555,0.34769497555547335,0.7097590371231199,0.0721299285039827,0.5099581657293462
20,20,0,0.0,0.11370093274736225,0.9311540623132912,0.2122964357998154,0.51591737741035,0.42919312638123186,0.6359361336426697,0.6292577859036099,0.57021039804694,0.11969631679579901,0.20247934931137698,0.4628847054772445,0.7461201122932567,0.840089495895505,0.10823207807579703,0.5271549098010524
